Filename,Label,Text Source,Text Type
000000506494.png,0,-,-
000000469162.png,2,metadata/texts\HA.txt,paragraph
000000516311.png,2,metadata/texts\Job.txt,full
000000454463.png,1,metadata/texts\Job.txt,sentence
000000069630.png,2,metadata/texts\Quran.txt,paragraph
000000250340.png,2,metadata/texts\Dune.txt,full
000000021016.png,1,metadata/texts\Quran.txt,sentence
000000502350.png,0,-,-
000000387637.png,1,metadata/texts\AOTS.txt,paragraph
000000478777.png,2,metadata/texts\Dune.txt,full
000000091099.png,2,metadata/texts\Dune.txt,sentence
000000498952.png,1,metadata/texts\Job.txt,paragraph
000000238425.png,1,metadata/texts\Dune.txt,full
000000409526.png,0,-,-
000000084177.png,1,metadata/texts\Dune.txt,sentence
000000044967.png,1,metadata/texts\Dune.txt,paragraph
000000141909.png,0,-,-
000000415744.png,1,metadata/texts\Dune.txt,full
000000047874.png,1,metadata/texts\Quran.txt,sentence
000000187618.png,2,metadata/texts\AOTS.txt,paragraph
000000326907.png,1,metadata/texts\HA.txt,full
000000480592.png,0,-,-
000000544758.png,2,metadata/texts\HA.txt,sentence
000000533708.png,1,metadata/texts\HA.txt,paragraph
000000161068.png,2,metadata/texts\Quran.txt,full
000000566572.png,1,metadata/texts\Dune.txt,sentence
000000471729.png,2,metadata/texts\HA.txt,paragraph
000000486708.png,0,-,-
000000182183.png,2,metadata/texts\HA.txt,full
000000566818.png,1,metadata/texts\Job.txt,sentence
000000158363.png,0,-,-
000000280796.png,1,metadata/texts\HA.txt,paragraph
000000443622.png,2,metadata/texts\Dune.txt,full
000000125194.png,0,-,-
000000155738.png,1,metadata/texts\Job.txt,sentence
000000191883.png,2,metadata/texts\AOTS.txt,paragraph
000000333932.png,2,metadata/texts\AOTS.txt,full
000000256129.png,0,-,-
000000161424.png,2,metadata/texts\HA.txt,sentence
000000096424.png,0,-,-
000000392496.png,1,metadata/texts\AOTS.txt,paragraph
000000392361.png,2,metadata/texts\Job.txt,full
000000291823.png,2,metadata/texts\HA.txt,sentence
000000070086.png,1,metadata/texts\Job.txt,paragraph
000000146549.png,1,metadata/texts\AOTS.txt,full
000000116249.png,0,-,-
000000231709.png,2,metadata/texts\Dune.txt,sentence
000000564474.png,0,-,-
000000232820.png,2,metadata/texts\Quran.txt,paragraph
000000535213.png,2,metadata/texts\Quran.txt,full
000000074654.png,0,-,-
000000268308.png,2,metadata/texts\Job.txt,sentence
000000250822.png,1,metadata/texts\Job.txt,paragraph
000000356265.png,2,metadata/texts\AOTS.txt,full
000000380324.png,0,-,-
000000091626.png,2,metadata/texts\AOTS.txt,sentence
000000190651.png,2,metadata/texts\Dune.txt,paragraph
000000202113.png,2,metadata/texts\Job.txt,full
000000111978.png,0,-,-
000000199682.png,2,metadata/texts\Quran.txt,sentence
000000160263.png,0,-,-
000000495494.png,1,metadata/texts\Dune.txt,paragraph
000000301472.png,2,metadata/texts\Dune.txt,full
000000349996.png,1,metadata/texts\HA.txt,sentence
000000047321.png,0,-,-
000000063925.png,2,metadata/texts\Job.txt,paragraph
000000443211.png,0,-,-
000000517759.png,2,metadata/texts\Dune.txt,full
000000477753.png,1,metadata/texts\Quran.txt,sentence
000000326715.png,2,metadata/texts\Dune.txt,paragraph
000000325565.png,2,metadata/texts\AOTS.txt,full
000000417405.png,2,metadata/texts\Job.txt,sentence
000000256300.png,0,-,-
000000093036.png,2,metadata/texts\Dune.txt,paragraph
000000274187.png,0,-,-
000000430594.png,0,-,-
000000362058.png,1,metadata/texts\AOTS.txt,full
000000035800.png,1,metadata/texts\HA.txt,sentence
000000053399.png,2,metadata/texts\Job.txt,paragraph
000000170189.png,2,metadata/texts\AOTS.txt,full
000000061962.png,0,-,-
000000229292.png,2,metadata/texts\AOTS.txt,sentence
000000537997.png,1,metadata/texts\Job.txt,paragraph
000000041495.png,2,metadata/texts\Dune.txt,full
000000096013.png,1,metadata/texts\Job.txt,sentence
000000036479.png,1,metadata/texts\Quran.txt,paragraph
000000347026.png,2,metadata/texts\Job.txt,full
000000203983.png,2,metadata/texts\Quran.txt,sentence
000000143347.png,2,metadata/texts\Job.txt,paragraph
000000468983.png,0,-,-
000000130136.png,1,metadata/texts\Quran.txt,full
000000173683.png,1,metadata/texts\Dune.txt,sentence
000000093987.png,0,-,-
000000202939.png,0,-,-
000000078366.png,2,metadata/texts\AOTS.txt,paragraph
000000480398.png,0,-,-
000000214465.png,0,-,-
000000138777.png,0,-,-
000000056343.png,1,metadata/texts\Quran.txt,full
000000283742.png,1,metadata/texts\Quran.txt,sentence
000000536225.png,1,metadata/texts\AOTS.txt,paragraph
000000088030.png,1,metadata/texts\Quran.txt,full
000000416396.png,0,-,-
000000416587.png,1,metadata/texts\Dune.txt,sentence
000000345703.png,0,-,-
000000563956.png,1,metadata/texts\HA.txt,paragraph
000000306206.png,0,-,-
000000577445.png,1,metadata/texts\AOTS.txt,full
000000570541.png,0,-,-
000000503613.png,2,metadata/texts\HA.txt,sentence
000000239572.png,0,-,-
000000322701.png,0,-,-
000000484106.png,1,metadata/texts\Dune.txt,paragraph
000000519761.png,2,metadata/texts\AOTS.txt,full
000000527986.png,0,-,-
000000090034.png,0,-,-
000000312426.png,1,metadata/texts\Dune.txt,sentence
000000206230.png,2,metadata/texts\HA.txt,paragraph
000000300779.png,1,metadata/texts\HA.txt,full
000000092208.png,1,metadata/texts\Quran.txt,sentence
000000451939.png,1,metadata/texts\AOTS.txt,paragraph
000000502051.png,0,-,-
000000478607.png,1,metadata/texts\HA.txt,full
000000454600.png,0,-,-
000000019248.png,0,-,-
000000211832.png,2,metadata/texts\Job.txt,sentence
000000292563.png,1,metadata/texts\Dune.txt,paragraph
000000530446.png,2,metadata/texts\Quran.txt,full
000000361631.png,1,metadata/texts\AOTS.txt,sentence
000000281560.png,0,-,-
000000022603.png,0,-,-
000000398291.png,1,metadata/texts\Quran.txt,paragraph
000000110104.png,2,metadata/texts\HA.txt,full
000000482379.png,0,-,-
000000156918.png,1,metadata/texts\Quran.txt,sentence
000000016658.png,1,metadata/texts\Quran.txt,paragraph
000000071327.png,0,-,-
000000472584.png,0,-,-
000000579677.png,2,metadata/texts\AOTS.txt,full
000000105541.png,1,metadata/texts\Quran.txt,sentence
000000517122.png,0,-,-
000000351270.png,0,-,-
000000274284.png,1,metadata/texts\Dune.txt,paragraph
000000369417.png,0,-,-
000000487232.png,1,metadata/texts\Job.txt,full
000000554907.png,2,metadata/texts\AOTS.txt,sentence
000000395931.png,0,-,-
000000098365.png,1,metadata/texts\Quran.txt,paragraph
000000358159.png,2,metadata/texts\Job.txt,full
000000046485.png,2,metadata/texts\AOTS.txt,sentence
000000159368.png,1,metadata/texts\Quran.txt,paragraph
000000395620.png,0,-,-
000000238852.png,1,metadata/texts\Dune.txt,full
000000350529.png,2,metadata/texts\Dune.txt,sentence
000000339091.png,1,metadata/texts\Quran.txt,paragraph
000000278935.png,2,metadata/texts\AOTS.txt,full
000000226110.png,2,metadata/texts\Job.txt,sentence
000000020190.png,1,metadata/texts\AOTS.txt,paragraph
000000293770.png,1,metadata/texts\Dune.txt,full
000000123356.png,0,-,-
000000137663.png,1,metadata/texts\Dune.txt,sentence
000000433485.png,1,metadata/texts\Job.txt,paragraph
000000239301.png,1,metadata/texts\Quran.txt,full
000000136877.png,1,metadata/texts\HA.txt,sentence
000000007346.png,2,metadata/texts\Job.txt,paragraph
000000078722.png,0,-,-
000000232029.png,2,metadata/texts\HA.txt,full
000000274660.png,1,metadata/texts\AOTS.txt,sentence
000000552248.png,0,-,-
000000432455.png,1,metadata/texts\HA.txt,paragraph
000000406079.png,1,metadata/texts\Job.txt,full
000000431065.png,0,-,-
000000058274.png,2,metadata/texts\Quran.txt,sentence
000000002224.png,1,metadata/texts\HA.txt,paragraph
000000016159.png,2,metadata/texts\Dune.txt,full
000000231579.png,1,metadata/texts\Dune.txt,sentence
000000481074.png,2,metadata/texts\AOTS.txt,paragraph
000000437946.png,1,metadata/texts\Quran.txt,full
000000112294.png,0,-,-
000000221511.png,1,metadata/texts\Dune.txt,sentence
000000025927.png,0,-,-
000000265732.png,2,metadata/texts\Quran.txt,paragraph
000000446692.png,1,metadata/texts\Quran.txt,full
000000207456.png,2,metadata/texts\Job.txt,sentence
000000546181.png,1,metadata/texts\Quran.txt,paragraph
000000031701.png,1,metadata/texts\Quran.txt,full
000000147964.png,2,metadata/texts\HA.txt,sentence
000000317346.png,0,-,-
000000358670.png,2,metadata/texts\Dune.txt,paragraph
000000237488.png,1,metadata/texts\Quran.txt,full
000000108172.png,0,-,-
000000114394.png,0,-,-
000000238146.png,1,metadata/texts\Quran.txt,sentence
000000038311.png,0,-,-
000000144524.png,2,metadata/texts\Dune.txt,paragraph
000000546866.png,0,-,-
000000546947.png,1,metadata/texts\Job.txt,full
000000049822.png,1,metadata/texts\AOTS.txt,sentence
000000491057.png,0,-,-
000000006069.png,2,metadata/texts\HA.txt,paragraph
000000495011.png,1,metadata/texts\Job.txt,full
000000430045.png,1,metadata/texts\AOTS.txt,sentence
000000536115.png,0,-,-
000000454815.png,0,-,-
000000186835.png,2,metadata/texts\AOTS.txt,paragraph
000000173863.png,2,metadata/texts\Job.txt,full
000000418320.png,0,-,-
000000379200.png,1,metadata/texts\Dune.txt,sentence
000000042569.png,0,-,-
000000436093.png,0,-,-
000000414215.png,0,-,-
000000485151.png,0,-,-
000000479549.png,0,-,-
000000076158.png,1,metadata/texts\Dune.txt,paragraph
000000314839.png,0,-,-
000000032576.png,0,-,-
000000038131.png,0,-,-
000000293381.png,1,metadata/texts\Job.txt,full
000000147191.png,2,metadata/texts\Job.txt,sentence
000000538365.png,2,metadata/texts\HA.txt,paragraph
000000237270.png,0,-,-
000000478366.png,1,metadata/texts\Dune.txt,full
000000247420.png,2,metadata/texts\HA.txt,sentence
000000447805.png,2,metadata/texts\Quran.txt,paragraph
000000270725.png,1,metadata/texts\AOTS.txt,full
000000579864.png,2,metadata/texts\AOTS.txt,sentence
000000103454.png,0,-,-
000000082314.png,2,metadata/texts\HA.txt,paragraph
000000408823.png,2,metadata/texts\AOTS.txt,full
000000384824.png,0,-,-
000000017048.png,0,-,-
000000286885.png,2,metadata/texts\Job.txt,sentence
000000312244.png,1,metadata/texts\HA.txt,paragraph
000000522684.png,2,metadata/texts\Quran.txt,full
000000475681.png,2,metadata/texts\Job.txt,sentence
000000183920.png,1,metadata/texts\HA.txt,paragraph
000000385321.png,0,-,-
000000251463.png,2,metadata/texts\HA.txt,full
000000330070.png,2,metadata/texts\HA.txt,sentence
000000431534.png,2,metadata/texts\Quran.txt,paragraph
000000067820.png,0,-,-
000000156220.png,2,metadata/texts\Job.txt,full
000000366550.png,1,metadata/texts\Job.txt,sentence
000000207962.png,0,-,-
000000351816.png,1,metadata/texts\Job.txt,paragraph
000000313056.png,1,metadata/texts\Dune.txt,full
000000235384.png,0,-,-
000000425401.png,2,metadata/texts\Job.txt,sentence
000000087759.png,2,metadata/texts\Job.txt,paragraph
000000268160.png,1,metadata/texts\Dune.txt,full
000000246693.png,2,metadata/texts\AOTS.txt,sentence
000000204229.png,1,metadata/texts\Job.txt,paragraph
000000432973.png,0,-,-
000000173310.png,2,metadata/texts\Quran.txt,full
000000045698.png,1,metadata/texts\Job.txt,sentence
000000230858.png,2,metadata/texts\AOTS.txt,paragraph
000000440841.png,1,metadata/texts\Dune.txt,full
000000374503.png,0,-,-
000000327291.png,0,-,-
000000514148.png,2,metadata/texts\HA.txt,sentence
000000045895.png,1,metadata/texts\Quran.txt,paragraph
000000074350.png,0,-,-
000000099565.png,1,metadata/texts\Job.txt,full
000000136290.png,0,-,-
000000030688.png,1,metadata/texts\Dune.txt,sentence
000000208488.png,0,-,-
000000054835.png,0,-,-
000000485585.png,1,metadata/texts\Job.txt,paragraph
000000287055.png,0,-,-
000000544054.png,1,metadata/texts\Quran.txt,full
000000386656.png,2,metadata/texts\Job.txt,sentence
000000535444.png,2,metadata/texts\Job.txt,paragraph
000000345817.png,0,-,-
000000542080.png,2,metadata/texts\HA.txt,full
000000073485.png,1,metadata/texts\Dune.txt,sentence
000000065992.png,0,-,-
000000327736.png,2,metadata/texts\AOTS.txt,paragraph
000000265369.png,2,metadata/texts\HA.txt,full
000000233100.png,0,-,-
000000354208.png,1,metadata/texts\AOTS.txt,sentence
000000020353.png,0,-,-
000000043975.png,2,metadata/texts\AOTS.txt,paragraph
000000175265.png,0,-,-
000000177097.png,1,metadata/texts\Dune.txt,full
000000394711.png,0,-,-
000000327408.png,2,metadata/texts\Dune.txt,sentence
000000096944.png,1,metadata/texts\Job.txt,paragraph
000000549228.png,0,-,-
000000088295.png,0,-,-
000000132479.png,0,-,-
000000472786.png,0,-,-
000000241139.png,2,metadata/texts\HA.txt,full
000000040295.png,2,metadata/texts\Quran.txt,sentence
000000006222.png,0,-,-
000000384214.png,0,-,-
000000287665.png,1,metadata/texts\AOTS.txt,paragraph
000000325841.png,0,-,-
000000439437.png,1,metadata/texts\Dune.txt,full
000000567619.png,0,-,-
000000352332.png,2,metadata/texts\HA.txt,sentence
000000574730.png,2,metadata/texts\HA.txt,paragraph
000000489800.png,2,metadata/texts\HA.txt,full
000000228051.png,0,-,-
000000216306.png,1,metadata/texts\HA.txt,sentence
000000581691.png,1,metadata/texts\Job.txt,paragraph
000000365296.png,1,metadata/texts\Quran.txt,full
000000502834.png,0,-,-
000000020763.png,1,metadata/texts\Dune.txt,sentence
